0.271645	0.404823	0.384053	0.312563	0.282225	0.479891	0.518475	0.270323	0.228549	0.489771	0.475146	0.516997	0.450408	0.563672	0.133256	0.480902	
0.504039	0.721486	0.545396	0.476898	0.344642	0.378675	0.614647	0.231556	0.248358	0.515455	0.571675	0.528271	0.468498	0.686914	0.152396	0.460528	
0.287736	0.485404	0.322557	0.355770	0.171371	0.245115	0.755609	0.218094	0.365420	0.747809	0.653559	0.380539	0.090551	0.662726	0.143627	0.372819	
0.140433	0.145228	0.208668	0.137852	0.077086	0.400369	0.726694	0.187736	0.259013	0.555002	0.672384	0.463808	0.123467	0.676256	0.079945	0.485754	
0.126206	0.473200	0.160950	0.351448	0.105123	0.448701	0.372532	0.133482	0.432962	0.479881	0.275575	0.580549	0.009800	0.495917	0.114477	0.520267	
0.218264	0.525056	0.332164	0.403149	0.143230	0.482771	0.731894	0.144849	0.284480	0.441206	0.777238	0.538641	0.108052	0.668016	0.040126	0.530544	
0.432951	0.727412	0.456638	0.479465	0.286915	0.458262	0.582999	0.206590	0.417383	0.756543	0.421968	0.382617	0.185769	0.605826	0.319962	0.439255	
0.097015	0.063101	0.134826	0.082753	0.055390	0.464013	0.477861	0.426368	0.178524	0.468574	0.427695	0.525290	0.184992	0.532587	0.115837	0.541625	
0.382716	0.616244	0.528525	0.518323	0.589604	0.502859	0.475634	0.309357	0.264262	0.462443	0.409942	0.534048	0.488174	0.563873	0.450097	0.505133	
0.134649	0.126942	0.181704	0.147055	0.106454	0.459336	0.474624	0.329574	0.434023	0.453008	0.403258	0.576253	0.110777	0.539098	0.323183	0.575814	
0.511409	0.847338	0.489843	0.489575	0.316242	0.579776	0.360358	0.253512	0.349709	0.673468	0.284922	0.555436	0.307562	0.475257	0.368859	0.604832	
0.211161	0.461036	0.332026	0.340070	0.176772	0.605229	0.212066	0.169633	0.132931	0.530920	0.116038	0.558471	0.167521	0.408547	0.168426	0.517245	
0.226886	0.336983	0.316302	0.236618	0.157056	0.341363	0.534671	0.266910	0.461801	0.675548	0.582968	0.634550	0.166058	0.579319	0.172993	0.455474	
0.322506	0.633759	0.396879	0.488463	0.322742	0.455177	0.468322	0.481938	0.382742	0.467423	0.398960	0.534846	0.219243	0.527943	0.318251	0.563877	
0.283837	0.482578	0.378751	0.423766	0.379255	0.501964	0.508661	0.293857	0.269486	0.470846	0.425579	0.547533	0.277291	0.576636	0.489829	0.488167	
0.214213	0.557868	0.296278	0.409306	0.156345	0.523520	0.446024	0.101861	0.445347	0.898477	0.358545	0.571066	0.027411	0.480034	0.068867	0.485956	
0.248733	0.500195	0.300715	0.400780	0.173229	0.321637	0.480182	0.424432	0.593242	0.498376	0.428460	0.878363	0.066017	0.559194	0.335413	0.577648	
0.282175	0.525312	0.345989	0.380927	0.211765	0.358111	0.749911	0.419251	0.209626	0.724421	0.399643	0.230481	0.096613	0.662745	0.234938	0.510160	
0.224523	0.399014	0.286903	0.335691	0.195584	0.449260	0.488789	0.454877	0.338607	0.463494	0.391597	0.545595	0.179421	0.530032	0.307824	0.588939	
0.130097	0.408738	0.184466	0.333981	0.073463	0.830744	0.192233	0.458252	0.262136	0.865049	0.268608	0.747249	0.031715	0.435599	0.005825	0.530744	
0.321109	0.570458	0.426429	0.408942	0.292586	0.602377	0.425750	0.194680	0.417091	0.674533	0.256593	0.471251	0.212564	0.511432	0.290492	0.604527	
0.243828	0.519413	0.318978	0.406960	0.215552	0.487439	0.480914	0.284067	0.654269	0.475911	0.401196	0.531702	0.065253	0.542577	0.513105	0.523436	
0.142021	0.261004	0.257658	0.180180	0.126062	0.527928	0.485907	0.160296	0.408365	0.730438	0.345302	0.472265	0.114414	0.530759	0.183913	0.532304	
0.404355	0.639088	0.490410	0.461586	0.293935	0.283463	0.563090	0.258683	0.462416	0.696319	0.647797	0.643027	0.207672	0.585692	0.199274	0.415448	
0.190564	0.386667	0.228718	0.322462	0.105231	0.133538	0.147077	0.322872	0.435487	0.065846	0.064410	0.398359	0.015385	0.493333	0.029744	0.466051	
0.270287	0.487682	0.308497	0.407743	0.195374	0.481247	0.426244	0.881146	0.152036	0.423731	0.566717	0.531825	0.329211	0.514429	0.004726	0.532529	
